"AdjClose.priceSS" "AdjClose.priceSZSA"
"412" 1920.32 NA
"413" 1986.93 NA
"414" 1957.02 NA
"415" 1958.69 NA
"416" 1882.13 NA
"417" 1903.93 NA
"418" 1895.17 NA
"419" 1924.59 NA
"420" 1955.04 NA
"421" 1955.1 NA
"422" 1939.54 NA
"423" 1947.36 NA
"424" 1919.65 NA
"425" 1924 NA
"426" 1934.49 NA
"427" 1938.87 NA
"428" 1903.45 NA
"429" 1902.99 NA
"430" 1886.8 NA
"431" 1827.25 NA
"432" 1843.39 NA
"433" 1847.54 NA
"434" 1839.63 NA
"435" 1834.14 NA
"436" 1817.19 NA
"437" 1862.36 NA
"438" 1868.27 NA
"439" 1861.56 NA
"440" 1808.84 NA
"441" 1856.53 NA
"442" 1863.78 NA
"443" 1852.6 NA
"444" 1839.91 NA
"445" 1818.38 NA
"446" 1784.61 NA
"447" 1798.62 NA
"448" 1822.69 NA
"449" 1818.42 NA
"450" 1807.02 NA
"451" 1794.96 NA
"452" 1793.88 NA
"453" 1767.81 NA
"454" 1764.93 NA
"455" 1764.87 NA
"456" 1764.87 NA
"457" 1764.87 NA
"458" 1764.87 NA
"459" 1764.87 NA
"460" 1764.87 NA
"461" 1726.53 NA
"462" 1744.64 NA
"463" 1686.61 NA
"464" 1638.33 NA
"465" 1691.33 NA
"466" 1687.28 NA
"467" 1655.9 NA
"468" 1643.07 NA
"469" 1615.58 NA
"470" 1572.45 NA
"471" 1520.67 NA
"472" 1670.56 NA
"473" 1718.06 NA
"474" 1676.5 NA
"475" 1677.88 NA
"476" 1700.48 NA
"477" 1682.77 NA
"478" 1689.17 NA
"479" 1707.75 NA
"480" 1691.35 NA
"481" 1679.57 NA
"482" 1671.28 NA
"483" 1594.05 NA
"484" 1605.87 NA
"485" 1630.36 NA
"486" 1621.19 NA
"487" 1615.93 NA
"488" 1617.1 NA
"489" 1621.34 NA
"490" 1646.76 NA
"491" 1669.89 NA
"492" 1699.73 NA
"493" 1705.66 NA
"494" 1715.81 NA
"495" 1712.56 NA
"496" 1705.89 NA
"497" 1722.59 NA
"498" 1735 NA
"499" 1732.3 NA
"500" 1747.99 NA
"501" 1762.56 NA
"502" 1769.68 NA
"503" 1745.23 NA
"504" 1751.18 NA
"505" 1745.41 NA
"506" 1748.68 NA
"507" 1728.88 NA
"508" 1715.17 NA
"509" 1688.01 NA
"510" 1675.51 NA
"511" 1665.94 NA
"512" 1687.29 NA
"513" 1672.7 NA
"514" 1631.54 NA
"515" 1640.14 NA
"516" 1606.1 NA
"517" 1611.17 NA
"518" 1633.64 NA
"519" 1627.92 NA
"520" 1639.48 NA
"521" 1645.97 NA
"522" 1645.97 NA
"523" 1645.97 NA
"524" 1645.97 NA
"525" 1611.39 NA
"526" 1596.76 NA
"527" 1583.46 NA
"528" 1561.35 NA
"529" 1576.44 NA
"530" 1535.59 NA
"531" 1485.11 NA
"532" 1459.65 NA
"533" 1479.62 NA
"534" 1419.52 NA
"535" 1415.44 NA
"536" 1366.97 NA
"537" 1358.69 NA
"538" 1444.96 NA
"539" 1456.4 NA
"540" 1451.48 NA
"541" 1359.55 NA
"542" 1392.78 NA
"543" 1396.6 NA
"544" 1491.67 NA
"545" 1485.77 NA
"546" 1511.33 NA
"547" 1518.28 NA
"548" 1485.8 NA
"549" 1515.39 NA
"550" 1506.61 NA
"551" 1506.61 NA
"552" 1506.61 NA
"553" 1506.61 NA
"554" 1506.61 NA
"555" 1506.61 NA
"556" 1506.61 NA
"557" 1506.61 NA
"558" 1506.61 NA
"559" 1506.61 NA
"560" 1506.61 NA
"561" 1530.28 NA
"562" 1531.43 NA
"563" 1538.32 NA
"564" 1524.7 NA
"565" 1502.54 NA
"566" 1526.8 NA
"567" 1560.08 NA
"568" 1569.21 NA
"569" 1613 NA
"570" 1640.26 NA
"571" 1664.09 NA
"572" 1643.69 NA
"573" 1623.43 NA
"574" 1665.15 NA
"575" 1620.98 NA
"576" 1623.88 NA
"577" 1665.36 NA
"578" 1682.51 NA
"579" 1685.02 NA
"580" 1669.69 NA
"581" 1675.29 NA
"582" 1649.48 NA
"583" 1654.23 NA
"584" 1650.67 NA
"585" 1603.91 NA
"586" 1608.51 NA
"587" 1582.88 NA
"588" 1594.51 NA
"589" 1641.7 NA
"590" 1634.64 NA
"591" 1640.65 NA
"592" 1667.52 NA
"593" 1677.66 NA
"594" 1649.53 NA
"595" 1658.98 NA
"596" 1649.5 NA
"597" 1640.29 NA
"598" 1644.4 NA
"599" 1628.14 NA
"600" 1635.17 NA
"601" 1627.48 NA
"602" 1624.55 NA
"603" 1611.05 NA
"604" 1615.92 NA
"605" 1640.59 NA
"606" 1665.81 NA
"607" 1667.75 NA
"608" 1667.75 NA
"609" 1667.75 NA
"610" 1667.75 NA
"611" 1667.75 NA
"612" 1667.75 NA
"613" 1652.37 NA
"614" 1650.58 NA
"615" 1638.2 NA
"616" 1623.94 NA
"617" 1616.23 NA
"618" 1598.35 NA
