收盤價	成交量	週轉率	市值比重 本益比	股價淨值比
32.13	173144	0.7446	9.245	14.04	3.35
32.25	225132	0.9682	9.258	14.09	3.36
33.25	229045	0.985	9.588	14.52	3.46
33.42	194394	0.836	9.58	14.6	3.48
33.95	249649	1.0736	9.543	14.83	3.23
34.19	320182	1.3769	9.478	14.94	3.25
36.72	242631	0.9813	9.672	15.56	3.38
36.59	186200	0.7531	9.557	15.51	3.37
36.01	228922	0.9258	9.483	15.26	3.32
34.78	209705	0.8481	9.263	14.74	3.2
36.59	267863	1.0833	9.421	15.51	3.37
36.79	188402	0.762	9.502	15.59	3.39
34.4	306869	1.2411	8.977	14.58	3.17
35.37	147568	0.5968	9.027	14.99	3.26
34.65	233779	0.9454	8.978	14.68	3.19
33.36	188705	0.7632	8.902	14.14	3.07
34.14	128398	0.5193	9.046	14.47	3.14
34.01	191128	0.773	9.033	15.25	3.13
33.36	102927	0.4163	8.857	14.96	3.07
34.01	239900	0.9702	9.157	15.25	3.13
33.23	193275	0.7816	9.107	14.9	3.06
34.46	207707	0.84	9.141	15.45	3.17
34.85	225055	0.9101	9.288	15.62	3.47
33.04	153997	0.6228	8.971	14.81	3.29
31.81	207096	0.8375	8.987	14.26	3.17
32.59	199562	0.807	9.384	14.61	3.24
35.04	231934	0.938	9.618	16.37	3.49
36.85	312815	1.2651	9.838	17.22	3.67
36.92	226088	0.9143	9.804	17.25	3.67
38.21	274985	1.1121	10.101	17.85	3.8
39.18	242683	0.9814	10.144	18.31	3.65
39.31	219788	0.8888	10.118	18.37	3.66
40.09	192452	0.7783	10.209	18.73	3.73
41.31	147177	0.5952	10.26	19.31	3.84
40.41	2062008	8.3381	9.925	18.88	3.76
42.35	260624	1.0539	10.15	19.79	3.94
41.7	270843	1.0952	10.015	19.49	3.88
40.41	240232	0.9714	9.993	18.88	3.76
41.06	106578	0.4309	10.069	19.18	3.82
40.99	79436	0.3212	9.937	19.15	3.81
40.47	201875	0.8162	9.812	18.91	3.77
39.89	184406	0.7456	9.565	18.64	3.71
39.44	177076	0.716	9.658	18.43	3.67
39.96	219483	0.8874	9.748	18.67	3.72
39.7	212696	0.86	9.778	18.55	3.69
39.24	159180	0.6436	9.616	18.34	3.65
38.66	176018	0.7117	9.693	18.07	3.6
41.51	284484	1.1502	10.031	19.4	3.86
43.58	190618	0.7707	10.261	20.36	4.05
43.96	207218	0.8378	10.089	20.54	4.09
44.8	193046	0.7805	10.086	18.33	4.17
44.03	205198	0.8297	9.815	18.02	4.1
44.29	167971	0.6791	9.534	15.5	4.12
41.96	249362	1.0082	9.142	14.68	3.9
40.41	243895	0.9861	9.051	14.14	3.76
38.47	289319	1.1698	8.872	13.46	3.58
40.41	178395	0.7211	9.104	14.14	3.24
37.82	284059	1.1483	9.201	13.24	3.03
38.4	261658	1.0577	9.155	13.44	3.07
39.78	260014	1.0069	9.278	13.35	3.06
41.05	238980	0.9254	9.214	13.77	3.16
39.99	161115	0.6239	9.022	13.42	3.07
38.73	190161	0.7364	9.052	13	2.98
38.59	207221	0.8025	9.028	12.95	2.97
38.24	248840	0.9636	8.865	12.83	2.94
38.59	149038	0.5771	8.993	12.95	2.97
40.34	202879	0.7856	9.218	13.54	3.1
41.89	221648	0.8583	9.356	14.06	3.22
40.06	155127	0.6007	9.207	13.44	3.08
41.33	147629	0.5717	9.318	12.15	3.18
39.85	119933	0.4644	8.929	11.71	3.06
41.47	191433	0.7413	9.302	12.19	3.19
41.96	208302	0.8066	9.185	12.33	3.23
41.96	196115	0.7594	9.187	12.33	3.23
42.66	166167	0.6434	9.147	12.54	3.51
44.28	160659	0.6221	9.388	13.02	3.64
43.44	211681	0.8196	9.259	12.77	3.57
43.93	174453	0.6755	9.304	12.91	3.61
42.94	236959	0.9175	8.997	11.86	3.53
42.73	178263	0.6902	8.935	11.81	3.51
43.86	168597	0.6528	9.063	12.12	3.61
44.56	183311	0.7098	9.021	12.31	3.66
46.74	284665	1.1021	9.117	12.91	3.57
46.46	221094	0.856	9.034	12.83	3.55
45.62	172774	0.6689	8.985	12.6	3.48
46.11	146213	0.5661	8.941	12.74	3.52
47.44	97329	0.3768	8.983	13.11	3.62
47.02	121074	0.4687	8.875	12.99	3.59
48.57	325591	1.2605	9.256	13.42	3.71
49.06	296350	1.1473	9.275	13.55	3.75
47.79	334266	1.2941	9.068	13.2	3.65
47.65	255129	0.9877	9.086	13.17	3.64
47.79	195216	0.7557	9.022	13.2	3.65
47.3	147311	0.5703	8.987	13.07	3.61
46.46	316179	1.224	9.027	12.83	3.55
46.74	276297	1.0696	9.156	12.91	3.57
48.5	1129772	4.3735	9.337	13.4	3.7
49.2	202651	0.7845	9.338	13.59	3.76
47.72	200064	0.7745	9.026	13.18	3.65
48.71	109611	0.4243	9.024	13.46	3.72
48.29	162387	0.6286	8.923	13.96	3.69
47.44	208321	0.8064	8.88	13.72	3.62
48.5	233538	0.904	9.07	14.02	3.7
48.57	195179	0.7555	8.932	15.78	3.71
47.44	187530	0.7259	8.762	15.41	3.62
48.15	284298	1.1005	8.881	15.64	3.68
47.37	266550	1.0318	8.605	15.39	3.62
48.36	256313	0.9922	8.677	15.71	3.36
49.02	475179	1.7985	8.38	14.93	3.27
49.25	305646	1.1569	8.181	15.31	3.28
51.2	369433	1.3983	8.275	15.92	3.41
53.14	328032	1.2414	8.515	16.53	3.54
52.84	216239	0.8184	8.19	16.43	3.52
54.72	353203	1.3367	8.226	17.02	3.65
52.02	256574	0.971	7.77	16.18	3.47
47.97	509461	1.9281	7.494	14.92	3.2
47.9	552286	2.09	7.538	14.9	3.19
46.1	332178	1.257	7.341	14.34	3.07
44.22	364598	1.3797	7.776	13.75	2.95
46.17	295598	1.1186	7.556	15.56	3.08
47	216637	0.8198	7.432	15.83	3.13
46.47	143388	0.5426	7.282	15.66	3.1
46.32	160156	0.6061	7.246	15.61	3.09
46.1	212766	0.8051	7.271	15.53	3.07
47.45	238291	0.9017	7.188	15.98	3.16
48.42	313233	1.1853	7.249	16.31	3.62
45.95	265184	1.0035	6.983	15.48	3.44
46.47	274759	1.0397	6.974	15.66	3.48
46.17	265036	1.0029	6.914	15.56	3.46
46.17	283263	1.0719	7.176	15.88	3.46
46.7	301458	1.1407	7.481	16.06	3.5
45.35	312518	1.1826	7.439	15.59	3.4
44.67	326023	1.2337	7.7	15.36	3.34
45.42	387177	1.4651	7.612	15.62	3.4
46.92	450345	1.7041	7.582	16.13	3.3
44.82	592775	2.2431	7.782	15.41	3.15
44.22	368928	1.396	8.119	15.21	3.11
45.35	285639	1.0809	7.88	15.59	3.19
46.47	38278	0.1448	7.951	15.98	3.27
44.97	122210	0.4624	7.908	15.46	3.16
41.23	329886	1.2483	7.417	14.18	2.9
40.93	372108	1.4081	7.224	14.07	2.88
41.6	330268	1.2497	7.755	14.3	2.93
46.02	514590	1.9472	8.72	15.82	3.24
46.1	292214	1.1057	8.508	15.85	3.24
45.65	190982	0.7227	8.188	15.7	3.21
