T收盤價	T成交量	T週轉率	T本益比	T股價淨值比
5176.45	1257000	0.3414	18.93	1.51
5158.79	1166000	0.3156	18.83	1.5
5082.02	1190000	0.322	18.57	1.48
5143.44	1611000	0.4374	18.78	1.5
5111.67	1491000	0.4054	18.65	1.49
4958.61	1358000	0.367	18.15	1.45
4991.48	1505000	0.4059	18.3	1.46
5209.97	2162000	0.582	19.13	1.53
5226.79	2210000	0.599	19.06	1.54
5170.08	1616000	0.4359	18.87	1.53
5079.72	1090000	0.2925	18.55	1.5
5095.26	1619000	0.4383	18.6	1.5
5057.07	1160000	0.3135	18.45	1.49
5048.86	1400000	0.378	18.42	1.49
5013.96	1203000	0.3242	24.06	1.44
4985.11	929000	0.2503	23.91	1.43
5065.06	1366000	0.3705	24.29	1.46
5220.44	2316000	0.6286	25.02	1.5
5153.35	1694000	0.4599	24.73	1.48
5226.28	2555000	0.693	25.11	1.51
5271.3	1428000	0.3874	25.34	1.52
5266.24	1936000	0.5251	25.37	1.52
5209.71	2191000	0.5921	25.12	1.51
5119.19	1406000	0.3787	24.64	1.48
5158.63	1209000	0.326	24.84	1.49
5070.52	1012000	0.2719	24.41	1.46
5039.98	1094000	0.2943	24.28	1.46
5029.64	1014000	0.2717	24.21	1.45
4984.88	1299000	0.3457	23.96	1.44
4904.34	1148000	0.3072	23.78	1.43
4785.12	1253000	0.3276	23.21	1.39
4825.28	1238000	0.3255	23.45	1.41
4768.55	1131000	0.2969	23.17	1.39
4883.43	1533000	0.4037	23.81	1.43
4886.86	1054000	0.2774	23.88	1.43
4843.82	954000	0.2505	23.62	1.41
4739.16	1099000	0.2882	23.11	1.38
4709.2	1056000	0.279	22.96	1.37
4707.01	1507000	0.3935	22.95	1.37
4657.3	1134000	0.2958	22.71	1.36
4616.71	1208000	0.3144	22.48	1.35
4548.29	1333000	0.3478	22.11	1.32
4633.54	1681000	0.4396	22.55	1.35
4485.68	2053000	0.534	21.87	1.31
4368.69	1617000	0.4195	21.32	1.28
4371.99	1705000	0.4428	21.34	1.28
4219.89	1586000	0.4104	20.62	1.23
4190.78	2021000	0.5239	20.5	1.23
4220.33	1620000	0.4187	20.63	1.23
4151.93	1270000	0.3286	20.22	1.21
4040.77	1452000	0.3745	19.65	1.18
4136.39	1669000	0.43	20.13	1.21
4300.41	2391000	0.6162	20.93	1.25
4320.59	2747000	0.7082	21.06	1.26
4352.98	1516000	0.3901	21.24	1.27
4354.52	1604000	0.4121	21.24	1.27
4490.19	2139000	0.5486	21.72	1.31
4530.68	2762000	0.7073	21.94	1.32
4470.73	1625000	0.4154	21.68	1.31
4404	1350000	0.3444	21.36	1.29
4514.1	2053000	0.5253	21.91	1.32
4448.52	2006000	0.5142	21.59	1.3
4476.91	1605000	0.4078	21.73	1.31
4520.76	1775000	0.4514	21.95	1.32
4589.6	1963000	0.4989	22.3	1.35
4623.11	2576000	0.6574	22.47	1.36
4687.33	2787000	0.711	22.77	1.37
4638.36	2333000	0.595	22.53	1.36
4550.36	1803000	0.4601	22.12	1.33
4562.73	1621000	0.4137	22.18	1.34
4487.52	1999000	0.5076	21.82	1.32
4459.76	1817000	0.4615	21.68	1.31
4310.32	2126000	0.5401	20.93	1.26
4384.55	1912000	0.4853	21.3	1.29
4368.38	1672000	0.4241	21.23	1.28
4508.69	2976000	0.7547	21.94	1.32
4503.86	3227000	0.8206	21.93	1.32
4509.44	2523000	0.6402	21.87	1.32
4454.77	1842000	0.4651	21.59	1.3
4493.53	1972000	0.4964	21.82	1.32
4424.91	1864000	0.4671	21.49	1.3
4338.26	1700000	0.4222	21.03	1.27
4302.16	1529000	0.3795	20.83	1.26
4289.1	1259000	0.316	20.75	1.25
4176.93	1464000	0.3675	20.23	1.22
3952.49	1065000	0.2654	19.13	1.16
3774.62	2373000	0.5932	18.21	1.1
3781.17	1317000	0.3222	18.2	1.1
3698.84	1563000	0.3847	17.82	1.08
3591.85	856000	0.2071	17.31	1.05
3533.51	2187000	0.5379	16.98	1.03
3493.78	2840000	0.6973	16.78	1.01
3625.53	2824000	0.6917	17.41	1.05
3567.63	1800000	0.4406	17.09	1.03
3636.94	2339000	0.5734	17.43	1.05
3492.12	1219000	0.298	24.28	1.02
3446.26	1490000	0.3642	23.91	1.01
3493.66	2146000	0.5268	24.26	1.02
3585.46	1961000	0.4817	24.94	1.05
3520.35	1311000	0.3178	24.5	1.03
3618.93	1748000	0.4252	25.2	1.06
3789.93	2464000	0.5964	26.39	1.11
3801.5	3087000	0.7576	26.51	1.12
3712.82	1492000	0.366	25.86	1.09
3794.86	1467000	0.3595	26.41	1.11
3817.13	2668000	0.6534	26.54	1.12
3811.2	1750000	0.4299	26.5	1.12
3845.62	2323000	0.5715	26.7	1.13
3900.62	2372000	0.5832	27.09	1.15
3874.42	2323000	0.5647	26.9	1.14
3986.67	2400000	0.5877	27.72	1.17
4012.2	2259000	0.5551	27.88	1.18
4043.57	3158000	0.7794	28.1	1.19
4065.1	2156000	0.5271	28.31	1.2
3915.61	2058000	0.5014	27.2	1.15
3903.49	1996000	0.4816	27.11	1.15
3929.69	1853000	0.4539	27.15	1.15
3998.48	2548000	0.6169	27.65	1.17
4080.51	2686000	0.6502	28.27	1.19
4082.92	3407000	0.8315	28.28	1.2
4158.15	3129000	0.7656	28.34	1.22
4135.03	2915000	0.7094	28.2	1.21
4123.78	2458000	0.6012	28.14	1.21
4172.63	2665000	0.6505	28.48	1.23
4136.54	3106000	0.7588	28.2	1.22
4277.7	3747000	0.9118	29.18	1.26
4403.59	4006000	0.9811	29.98	1.29
4446.62	4195000	1.0234	30.34	1.31
4548.63	3590000	0.8761	31.09	1.34
4455.8	4869000	1.1843	30.4	1.31
4533.37	3170000	0.7719	30.93	1.33
4450.02	3446000	0.8408	30.34	1.31
4519.08	3070000	0.7489	30.8	1.33
4608.32	3763000	0.9158	31.43	1.36
4580.33	4402000	1.0746	31.26	1.35
4447.58	3581000	0.874	30.35	1.31
4465.83	2414000	0.5886	30.44	1.31
4441.12	2787000	0.6826	29.95	1.31
4646.61	3140000	0.7642	47.25	1.37
4766.43	4246000	1.0369	48.49	1.4
4924.56	5895000	1.4387	50.08	1.45
5208.86	6015000	1.4541	52.97	1.53
5333.93	6594000	1.6214	55.69	1.57
5321.28	6148000	1.5062	55.59	1.57
5273.97	5650000	1.4017	55.02	1.56
5539.31	5675000	1.4074	57.81	1.63
5407.54	7166000	1.7778	56.44	1.6
5486.73	5205000	1.2961	58.16	1.62
5456.15	5104000	1.2661	57.89	1.61
5329.19	5455000	1.3771	60.17	1.57
5221.96	4139000	1.0331	55.93	1.5
5309.1	3565000	0.8927	59.92	1.53
5109.24	3597000	0.8993	57.69	1.47
5164.73	3137000	0.758	58.38	1.49
5372.81	4503000	0.98	60.48	1.55
5392.43	4972000	1.1911	60.74	1.55
5332.98	5154000	1.2365	60.02	1.53
5398.28	4391000	0.9865	60.89	1.56
5551.24	4622000	1.0516	62.72	1.6
5600.05	5608000	1.3292	63.7	1.62
5526.32	5550000	1.323	62.74	1.59
5638.53	5386000	1.2831	64.1	1.63
5834.89	5402000	1.274	64.76	1.69
5810.08	5759000	1.3704	63.43	1.69
5865.54	6078000	1.4468	64.26	1.71
5871.28	5955000	1.4217	63.89	1.71
5687.59	6962000	1.6684	61.85	1.66
5611.86	3842000	0.9211	60.99	1.63
5592.74	3956000	0.943	60.74	1.63
5488.33	3736000	0.8936	60.97	1.59
5501.13	3332000	0.7863	61.05	1.59
5522.8	4150000	0.9981	61.19	1.6
5798.05	3890000	0.9255	64.33	1.68
5804.1	4900000	1.166	64.48	1.68
5769.78	5479000	1.31	66	1.68
5801.92	4013000	0.957	66.47	1.7
5950.64	5204000	1.246	68.11	1.74
6007.33	4743000	1.1388	68.84	1.76
5846.19	4096000	0.9834	66.84	1.71
5812.67	3739000	0.9011	66.48	1.71
5872.14	4290000	1.0427	68.55	1.73
