Date,Open,High,Low,Close,Volume,Adj Close
2004-11-01,10731.02,11268.81,10690.95,10899.25,73400,10899.25
2004-10-01,10893.19,11410.40,10575.23,10771.42,83800,10771.42
2004-09-01,11104.85,11357.85,10737.78,10823.57,82600,10823.57
2004-08-02,11274.45,11279.71,10545.89,11081.79,70300,11081.79
2004-07-01,11933.33,11988.12,11018.79,11325.78,68700,11325.78
2004-06-01,11204.69,11887.95,10963.56,11858.87,80500,11858.87
2004-05-06,11777.44,11785.26,10489.84,11236.37,98400,11236.37
2004-04-01,11756.16,12195.66,11623.65,11761.79,121200,11761.79
2004-03-01,11112.68,11869.00,11045.94,11715.39,108700,11715.39
2004-02-02,10784.93,11069.28,10299.43,11041.92,72000,11041.92
2004-01-05,10787.83,11193.64,10665.15,10783.61,78800,10783.61
2003-12-01,10006.13,10681.28,9859.00,10676.64,62500,10676.64
2003-11-04,10693.66,10869.35,9614.60,10100.57,73300,10100.57
2003-10-01,10232.57,11238.63,10173.54,10559.59,92000,10559.59
2003-09-01,10399.53,11160.19,10148.36,10219.05,94400,10219.05
2003-08-01,9646.66,10415.53,9224.05,10343.55,86700,10343.55
2003-07-01,9097.61,10070.11,9078.74,9563.21,89400,9563.21
2003-06-02,8490.22,9188.95,8488.89,9083.11,86400,9083.11
2003-05-01,7804.03,8461.73,7745.69,8424.51,62400,8424.51
2003-04-01,7907.13,8249.98,7603.76,7831.42,56900,7831.42
2003-03-03,8397.15,8509.43,7824.82,7972.71,291587100,7972.71
2003-02-03,8285.55,8821.31,8253.76,8363.04,540495700,8363.04
2003-01-06,8669.89,8829.06,8237.03,8339.94,583941700,8339.94
2002-12-02,9208.61,9320.11,8256.52,8578.95,464192000,8578.95
2002-11-01,8651.67,9294.10,8246.53,9215.56,592164300,9215.56
2002-10-01,9289.53,9293.86,8197.22,8640.48,502799200,8640.48
2002-09-02,9564.90,9884.60,8969.26,9383.29,548516400,9383.29
2002-08-01,9912.59,10162.30,9439.41,9619.30,465454100,9619.30
2002-07-01,10655.00,11050.69,9547.85,9877.94,516784600,9877.94
2002-06-03,11804.04,11905.16,10060.72,10621.84,422780200,10621.84
2002-05-01,11540.09,12081.43,11250.86,11763.70,000,11763.70
2002-04-01,11106.07,11812.99,10896.12,11492.54,000,11492.54
2002-03-01,10641.36,12034.04,10540.31,11024.94,000,11024.94
2002-02-01,10026.96,10798.67,9420.85,10587.83,000,10587.83
2002-01-04,10631.00,10979.92,9843.12,9997.80,000,9997.80
2001-12-03,10694.65,11052.51,10170.90,10542.62,000,10542.62
2001-11-01,10430.59,11186.75,9955.09,10697.44,000,10697.44
2001-10-01,9766.75,11052.01,9604.09,10366.34,000,10366.34
2001-09-03,10729.60,10812.89,9382.95,9774.68,000,9774.68
2001-08-01,11920.64,12407.37,10684.16,10713.51,000,10713.51
2001-07-02,12929.66,12929.66,11531.68,11860.77,000,11860.77
2001-06-01,13365.08,13510.70,12511.66,12969.05,000,12969.05
2001-05-01,14096.32,14556.11,13216.57,13262.14,000,13262.14
2001-04-02,13057.65,14099.49,12579.56,13934.32,000,13934.32
2001-03-01,12811.52,13867.58,11433.88,12999.70,000,12999.70
2001-02-01,13740.92,13862.29,12784.17,12883.54,000,12883.54
2001-01-04,13898.09,14186.62,13123.81,13843.55,000,13843.55
2000-12-01,14600.53,15273.40,13182.51,13785.69,000,13785.69
2000-11-01,14557.45,15602.39,14172.64,14648.51,000,14648.51
2000-10-02,15735.71,16192.78,14333.16,14539.60,000,14539.60
2000-09-01,16915.04,17018.52,15621.88,15747.26,000,15747.26
2000-08-01,15784.60,17210.80,15557.33,16861.26,000,16861.26
2000-07-03,17451.65,17661.11,15394.71,15727.49,000,15727.49
2000-06-01,16320.08,17511.32,16289.92,17411.05,000,17411.05
2000-05-01,17979.25,18586.16,15870.25,16332.45,000,16332.45
2000-04-03,20327.79,20833.21,17926.43,17973.70,000,17973.70
2000-03-01,20030.08,20809.79,18765.88,20337.32,000,20337.32
2000-02-01,19536.68,20046.14,19266.96,19959.52,000,19959.52
2000-01-04,18937.45,19595.83,18068.10,19539.70,000,19539.70
