TSMC	TWI
4.43	6820.35
4.43	6844.75
4.51	6875.02
4.51	7019.43
4.51	7010.76
4.51	7094.77
4.51	7118.07
4.63	7189.47
4.55	7137.76
4.55	7165.46
4.59	7206.42
4.55	7173.42
4.51	7154.2
4.51	7254.32
4.51	7251.04
4.51	7290.77
4.51	7219.55
4.55	7248.01
4.51	7212.28
4.51	7156.96
4.47	7146.21
4.47	7149.54
4.51	7221.98
4.51	7283.4
4.59	7315.39
4.59	7346.88
4.63	7410.47
4.95	7424.1
5.07	7536.28
4.87	7499.51
4.87	7598.93
4.87	7687.18
4.83	7642.03
4.83	7656.85
4.79	7678.04
5.03	7791.19
4.87	7739.94
4.87	7908.61
4.95	7887.36
4.83	7730.49
4.95	7832.07
4.99	7875.32
4.95	7983.71
5.07	7880.45
5.39	7956.57
5.27	8019.46
5.23	8081
5.19	8162.68
5.15	8182.44
5.11	8174.18
5.11	8246.64
5.15	8255.07
5.15	8268.15
5.11	8275.57
5.15	8291.31
5.31	8426.42
5.35	8526.2
5.19	8441.52
5.23	8492.67
5.11	8230.07
5.03	8234.07
5.03	7946.88
5.07	7843.43
5.23	8029.33
5.27	8089.71
5.51	8119.7
5.63	8004.2
5.74	8163.41
5.59	8203.89
5.82	8367.57
6.22	8517.7
6.3	8460.63
6.34	8655.82
6.34	8584.12
6.78	8593.08
6.82	8487.89
6.66	8639.37
7.1	8616.11
7.38	8614.78
7.22	8492.1
6.74	8326.53
6.58	8302.25
6.7	8421.87
6.78	8430.62
7.22	8576.94
7.02	8629.23
7.14	8654.19
7.34	8661.72
7.22	8660.76
7.46	8592.44
7.5	8485.66
7.22	8187
7.7	8314.67
7.66	8269.43
7.78	8294.27
8.26	8427.07
8.18	8349.85
8.74	8233.37
9.14	8274.19
8.82	7966.64
8.98	7952.12
8.62	8181.62
8.02	7996.1
7.78	8081.79
8.14	8141.12
8.3	8107.54
8.06	7996.75
8.38	8022.89
8.46	8150.66
8.78	8144.38
8.86	8178.7
9.02	8194.66
8.86	8123.26
9.26	8058.46
9.34	7997.65
9.53	8004.49
9.5	8163.11
9.5	8197.3
9.93	8255.78
10.25	8282.91
9.93	8231.3
10.17	8342.94
10.77	8367.46
10.73	8392.98
10.41	8267
11.13	8259.28
11.75	8315.02
11.68	8502.18
12.48	8640.45
13.27	8679.24
13.58	8713.49
12.78	8636.29
13.46	8882.13
13.21	8833.83
14.13	8925.12
14.93	8918.17
15.23	8956.41
14.68	8871.76
14.74	8984.59
15.48	9024.48
15.11	9030.28
14.07	8996.72
14.44	9027.63
14.68	9192.57
14.99	9258.63
15.11	9322.84
14.93	9305.27
15.54	9362.68
15.54	9429.74
15.97	9394.63
16.03	9501.08
16.82	9593.54
17.07	9555.98
18.23	9544.56
18.17	9571.8
19.33	9677.4
18.84	9749.3
18.17	9833.77
17.01	9550.4
16.39	9381.06
17.5	9632.42
18.72	9808.91
19.33	9869.25
19.09	9923.05
17.86	9892.34
18.35	9942.79
18.96	10066.35
18.72	10001.56
19.21	10048.9
19.94	10065.76
19.33	9919.68
18.72	9861.47
18.47	9840.88
19.7	9923.84
19.45	9993.54
18.47	9897.27
18.72	9807.74
17.43	9556.12
17.43	9632.34
18.6	9770.8
18.6	9706.57
18.6	9712.45
19.21	9855.16
20.06	10025.13
19.94	10020.55
20.8	9965.42
20.8	10011.47
20.55	10116.84
19.7	10050.67
19.09	9827.49
19.7	9756.47
18.47	9504.99
18.11	9211.67
19.21	9460.76
18.47	9147.85
19.09	9290.39
18.84	9382.73
18.35	9149.29
18.05	9079.36
18.11	9145.18
17.8	9115.1
17.68	9155.24
16.94	9093.84
16.33	8932.02
17.13	9087.55
17.62	9141.33
18.11	9243.71
18.11	9201.21
17.86	9220.99
17.25	9073.77
17.25	8994.02
16.52	8791.81
16.21	8719
17.07	8829.38
16.76	8708.83
17.25	8695.02
17.43	8504.66
17.8	8537.18
17.92	8380.83
17.37	8392.59
17.01	8221.35
17.31	8255.82
17.98	8461.87
19.21	8463.16
19.21	8429.35
18.6	8262.4
17.74	7997.81
17.01	7832.15
15.84	7618.45
14.74	7316.78
15.72	7734.05
14.93	7692.47
15.29	7825.01
14.74	7719.04
14.19	7662.53
13.21	7210.01
12.3	7089.56
11.93	7313.4
12.72	7646.35
13.58	7785.32
14.5	7864.22
15.48	8076.77
15.42	7860.09
14.44	7670.76
15.42	7767.14
15.29	7712.16
14.8	7554.94
14.56	7482.92
14.56	7492.26
15.42	7690.54
14.93	7644.97
15.35	7705.4
14.93	7693.29
15.05	7773.35
15.05	7907.49
14.68	7756.25
14.93	7759.97
14.62	7698.24
14.8	7762.15
14.68	7797.19
13.7	7400.64
14.13	7679.53
14.5	7902.51
14.99	8050.13
14.8	8166.87
15.11	8243.76
15.84	8402.17
15.42	8333.49
15.54	8503.55
15.11	8270.58
15.17	8398.27
14.93	8343.88
14.8	8241.49
14.44	8193.65
14.5	8347.2
14.01	8255.05
13.27	8092.58
13.7	8154.27
13.34	8104.03
13.34	8038.31
13.82	8075.05
13.58	8132.5
13.46	8104.64
13.46	8076.65
13.64	8145.77
13.7	8187.27
13.95	8159.11
13.7	8028.63
13.82	7966.18
13.64	7835.56
13.58	7778.16
13.27	7737.2
12.36	7375.14
12.36	7513.24
13.21	7798.25
13.34	7770.77
13.21	7799.1
13.52	7895.48
13.27	7847.62
13.7	7907.68
14.62	8098.65
14.38	8085.47
15.35	8405.11
16.39	8514.18
17.13	8470.61
17.43	8621.97
16.82	8544.14
17.37	8683.46
17.13	8634.61
17.37	8567.66
17.86	8713.42
18.17	8800.02
17.5	8706.46
17.86	8708.29
18.35	8782.09
18.84	8837.34
19.58	8978.51
19.7	9037.48
19.58	9088.81
19.21	9147
20.19	9066.46
19.94	9027.1
20.68	9229.19
20.43	9202.56
20.31	9277.09
20.06	9211.83
19.21	8977.54
18.35	8765.32
18.84	8847.65
18.35	8850.74
18.11	8887.36
18.6	8897.27
19.09	9030.55
18.84	9056.37
19.09	9055.51
19.7	9065.3
19.7	9045.55
19.21	8952.66
19.45	8859.41
19.58	8904.23
19.21	8856.06
18.72	8757.59
19.09	8806.85
19.82	9040.75
19.58	9014.17
19.94	9095.83
19.7	9088.96
19.82	9091.16
19.7	9041.5
19.7	9013.1
19.94	9134.06
19.94	9239.48
19.7	9266.68
19.7	9263.44
19.21	9090.31
18.72	9054.02
17.98	8863.11
17.74	8764.58
18.11	8807.31
17.92	8780.21
17.19	8619.49
17.92	8725.94
17.13	8508.56
17.37	8440.2
17.74	8636.51
18.05	8613.96
17.98	8636.11
17.43	8471.62
17.43	8434.67
17.37	8348.35
17.43	8304.21
17.37	8293.46
17.56	8360.6
17.07	8330.15
17.25	8325.64
17.01	8290.37
17.01	8210.84
17.5	8378.88
17.25	8278.43
17.31	8202.9
17.62	8193.5
17.8	8167.5
17.5	8066.16
17.25	8134.89
17.25	8136.27
17.37	8267.49
17.25	8369.32
17.25	8384.91
16.82	8314.09
16.15	8178.39
15.48	8068.17
15.6	8124.5
14.86	7903.34
13.95	7606.25
13.46	7565.64
13.64	7643.2
12.85	7425.96
13.34	7505.58
13.64	7636.73
13.46	7591.27
13.09	7455.63
12.42	7223.13
12.11	7210.74
12.42	7117.11
13.1	7283.83
13.19	7404.27
13.46	7466.38
14.37	7768.31
15	7754.43
14.82	7817.27
14.1	7692.91
13.83	7633.36
13.74	7670.71
13.92	7722.64
13.46	7681.96
12.83	7535.73
12.83	7548.81
13.65	7817.11
13.1	7758.63
13.1	7876.24
13.28	7894.85
13.01	7845.97
13.19	7936.82
13.55	7947.53
13.28	7883.16
12.83	7815.53
12.83	7789.22
13.1	7875.91
13.37	7924.84
13.83	8032.86
14.01	8039.8
14.28	8047.67
13.74	7949.2
13.92	7881.06
13.92	7879.89
14.19	7902.4
14.19	7890.3
14.28	7830.14
14.28	7775.33
14.28	7730.43
14.1	7653.51
14.1	7622.68
13.92	7599.04
13.92	7593.14
13.92	7499.73
13.83	7471.74
14.01	7530.02
13.83	7372.12
13.74	7383.98
13.55	7351.51
13.65	7362.55
13.55	7348.04
13.46	7371.84
13.1	7273.85
12.38	7181.59
12.83	7293.4
12.74	7270.84
12.47	7213.37
11.66	6957.75
11.66	6908.33
11.57	6814.33
11.66	6813.3
11.39	6723.77
11.39	6735.92
11.11	6550.11
10.66	6335.09
11.11	6471.68
10.39	6251.38
10.39	6463.15
