新台幣	日圓	英鎊	港幣	韓元	加拿大幣	新加坡元	人民幣	澳幣	歐元
35.118   	124.31	1.5537	7.7999	1247.1	1.5977	1.7913	8.2772	0.5464	0.9788
35.111   	124.17	1.5648	7.7998	1246.6	1.5968	1.7877	8.2772	0.5486	0.9897
35.157   	124.05	1.5623	7.7998	1259.5	1.5867	1.7926	8.2770	0.5489	0.9875
35.168   	124.33	1.5579	7.7998	1259.3	1.5859	1.7982	8.2769	0.5466	0.9870
35.168   	124.48	1.5513	7.7995	1263.5	1.5862	1.8073	8.2768	0.5471	0.9818
34.970   	124.36	1.5538	7.7995	1246.9	1.5839	1.7978	8.2767	0.5490	0.9815
34.850   	124.29	1.5511	7.7995	1240.6	1.5708	1.7861	8.2767	0.5506	0.9709
34.928   	125.31	1.5467	7.7993	1247.0	1.5738	1.7885	8.2768	0.5500	0.9719
34.895   	124.88	1.5427	7.7989	1243.4	1.5638	1.7808	8.2767	0.5545	0.9737
34.926   	125.18	1.5460	7.7987	1243.5	1.5684	1.7852	8.2768	0.5529	0.9779
34.790   	124.31	1.5487	7.7993	1231.9	1.5660	1.7820	8.2768	0.5530	0.9763
34.805   	124.48	1.5547	7.7992	1232.0	1.5656	1.7788	8.2768	0.5547	0.9779
34.805   	124.37	1.5510	7.7988	1231.9	1.5671	1.7745	8.2770	0.5557	0.9763
34.899   	124.81	1.5600	7.7994	1233.5	1.5579	1.7812	8.2773	0.5588	0.9845
34.815   	123.58	1.5568	7.7994	1227.4	1.5636	1.7719	8.2771	0.5567	0.9835
34.810   	122.68	1.5578	7.7994	1231.8	1.5658	1.7708	8.2772	0.5529	0.9838
34.761   	122.49	1.5654	7.7994	1221.6	1.5586	1.7671	8.2771	0.5547	0.9908
34.795   	122.68	1.5642	7.7994	1225.2	1.5582	1.7676	8.2771	0.5590	0.9969
34.698   	122.23	1.5575	7.7994	1219.0	1.5552	1.7626	8.2771	0.5614	0.9979
34.625   	121.93	1.5629	7.7994	1217.0	1.5574	1.7574	8.2772	0.5610	1.0000
34.685   	122.51	1.5636	7.7992	1222.2	1.5526	1.7629	8.2770	0.5638	1.0028
34.596   	121.78	1.5795	7.7992	1217.2	1.5564	1.7639	8.2771	0.5667	1.0093
34.505   	119.79	1.5916	7.7992	1207.4	1.5649	1.7588	8.2771	0.5647	1.0129
34.415   	119.87	1.5869	7.7994	1201.0	1.5700	1.7593	8.2770	0.5617	1.0109
34.565   	119.64	1.5897	7.7994	1206.0	1.5781	1.7627	8.2770	0.5605	1.0125
34.619   	119.71	1.5862	7.7994	1202.2	1.5756	1.7625	8.2771	0.5604	1.0082
34.736   	120.52	1.5792	7.7994	1211.7	1.5754	1.7664	8.2773	0.5633	1.0042
34.710   	120.68	1.5803	7.7995	1208.6	1.5841	1.7627	8.2772	0.5636	1.0097
34.757   	121.20	1.5817	7.7995	1209.1	1.5900	1.7655	8.2773	0.5623	1.0087
34.781   	120.97	1.5809	7.7995	1208.6	1.5839	1.7640	8.2773	0.5588	1.0038
34.865   	122.48	1.5718	7.7995	1216.5	1.5862	1.7684	8.2772	0.5607	1.0016
34.798   	122.06	1.5816	7.7993	1213.7	1.5776	1.7680	8.2770	0.5627	1.0020
34.757   	122.70	1.5799	7.7989	1211.9	1.5783	1.7696	8.2770	0.5639	0.9972
34.804   	122.70	1.5649	7.7988	1211.5	1.5730	1.7718	8.2772	0.5594	0.9920
34.773   	122.04	1.5522	7.7988	1206.1	1.5754	1.7666	8.2772	0.5599	0.9933
34.820   	121.83	1.5473	7.7988	1207.6	1.5727	1.7678	8.2770	0.5564	0.9906
34.805   	122.28	1.5512	7.7988	1207.8	1.5728	1.7662	8.2771	0.5606	0.9944
34.812   	122.55	1.5574	7.7987	1208.8	1.5649	1.7655	8.2772	0.5605	0.9953
34.838   	123.43	1.5587	7.7984	1212.5	1.5564	1.7682	8.2772	0.5596	0.9969
34.888   	124.57	1.5705	7.7985	1217.8	1.5569	1.7710	8.2772	0.5591	0.9966
34.881   	124.73	1.5700	7.7985	1216.4	1.5606	1.7691	8.2771	0.5608	1.0005
34.944   	125.16	1.5717	7.7985	1226.5	1.5627	1.7733	8.2772	0.5614	1.0007
34.902   	123.52	1.5765	7.7985	1220.0	1.5645	1.7650	8.2770	0.5610	1.0098
34.805   	122.68	1.5796	7.7985	1212.5	1.5623	1.7631	8.2772	0.5636	1.0104
34.854   	123.55	1.5709	7.7988	1217.4	1.5602	1.7668	8.2773	0.5593	1.0083
34.860   	123.27	1.5772	7.7989	1212.5	1.5562	1.7638	8.2770	0.5605	1.0087
34.838   	123.27	1.5822	7.7989	1212.0	1.5543	1.7604	8.2772	0.5655	1.0186
34.835   	122.58	1.5895	7.7989	1210.0	1.5606	1.7528	8.2772	0.5646	1.0236
34.796   	120.63	1.5916	7.7985	1203.1	1.5617	1.7485	8.2770	0.5669	1.0224
34.785   	120.77	1.5993	7.7985	1196.0	1.5482	1.7443	8.2772	0.5658	1.0284
34.848   	121.27	1.6036	7.7985	1203.7	1.5534	1.7463	8.2773	0.5649	1.0270
34.885   	121.20	1.6044	7.7981	1203.7	1.5525	1.7463	8.2773	0.5656	1.0273
34.853   	120.91	1.6026	7.7981	1204.7	1.5508	1.7438	8.2773	0.5630	1.0270
34.818   	120.47	1.5934	7.7985	1201.8	1.5520	1.7400	8.2774	0.5619	1.0267
34.848   	120.46	1.5950	7.7985	1200.8	1.5500	1.7391	8.2775	0.5635	1.0300
34.850   	120.44	1.5959	7.7985	1200.8	1.5478	1.7391	8.2775	0.5630	1.0320
34.868   	120.21	1.6009	7.7985	1199.8	1.5583	1.7378	8.2774	0.5633	1.0378
34.878   	119.97	1.6039	7.7992	1197.7	1.5688	1.7387	8.2772	0.5615	1.0436
34.835   	119.36	1.6052	7.7992	1197.0	1.5770	1.7345	8.2772	0.5647	1.0488
34.753   	118.78	1.6121	7.7987	1186.2	1.5732	1.7336	8.2773	0.5611	1.0499
34.791   	120.11	1.5945	7.7986	1192.9	1.5678	1.7435	8.2770	0.5640	1.0360
34.806   	119.70	1.6097	7.7988	1196.9	1.5634	1.7440	8.2770	0.5678	1.0424
34.645   	119.28	1.6087	7.7990	1188.9	1.5595	1.7390	8.2768	0.5758	1.0469
